Cement,Slag,Ash,Water,Superplasticizer,CoarseAggregate,FineAggregate,Days,CompressiveStrength
198.6,132.4,0,192,0,978.4,825.5,M,28.02168359
500,0,0,151,9,1033,655,M,69.83702404
156,178,187,221,7,854,614,M,29.41304616
229.97,0,118.31,195.47,4.63,1029.4,758.59,M,24.48329276
159,209,161,201,7,848,669,M,30.88163004
450.1,50,0,200,3,1124.4,613.2,M,39.37597436
362.6,189,0,164.9,11.6,944.7,755.8,M,71.29871316
469,117.2,0,137.8,32.2,852.1,840.5,M,66.89985628
387,20,94,157,13.93,938,845,M,46.68441996
334,17.6,158,189,15.3,967,633,M,44.32641204
387,20,94,157,11.61,938,845,M,46.68441996
236,157,0,192,0,972.6,749.1,M,32.88455782
322.2,0,115.6,196,10.4,817.9,813.4,M,31.1787942
262,111,86,195,5,895,733,M,33.7153764
160,188,146,203,11,829,710,M,32.83974188
325,0,0,184,0,1063,783,M,30.57136584
313.3,0,113,178.5,8,1001.9,688.7,M,36.80491836
296,0,0,186,0,1090,769,M,25.17966352
298.1,0,107.5,163.6,12.8,953.2,784,M,35.86585204
148,0,182,181,15,839,884,M,15.52010476
310,0,0,192,0,1012,830,H,37.231704
480,0,0,192,0,936.2,712.2,H,54.31554033
213.5,0,174.24,154.61,11.66,1052.3,775.48,L,25.53474366
279.8,128.9,100.4,172.4,9.5,825.1,804.9,M,52.82696164
310,143,0,168,10,914,804,M,45.2985732
108.3,162.4,0,203.5,0,938.2,849,L,5.027658992
250,0,95.69,191.84,5.33,948.9,857.2,M,27.22051248
144,170,133,192,8,814,805,M,29.86810032
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,H,55.2959752
186.2,124.1,0,185.7,0,1083.4,764.3,M,17.59680647
362.6,189,0,164.9,11.6,944.7,755.8,L,41.47370509
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,H,43.65072556
531.3,0,0,141.8,28.2,852.1,893.7,L,44.09888496
260,101,78,171,10,936,763,M,49.77327244
136,196,98,199,6,847,783,M,26.96540636
236,0,0,193,0,968,885,L,9.99050724
331,0,0,192,0,1025,821,H,38.64857718
310,0,0,192,0,970,850,L,14.98920824
183.9,122.6,0,203.5,0,959.2,800,M,24.04616498
287,121,94,188,9,904,696,M,41.94082508
251.37,0,118.27,192.94,5.75,1043.6,754.3,M,33.27411176
277.05,0,97.39,160.6,11.83,973.9,875.61,H,53.33786336
152.6,238.7,0,200,6.3,1001.8,683.9,M,26.85991653
149,236,0,176,13,847,893,M,32.9569528
272.8,105.1,81.8,209.7,9,904,679.7,M,37.17103011
375,0,0,186,0,1038,758,L,26.0621928
157,236,0,192,0,935.4,781.2,M,33.66435518
266,112,87,178,10,910,745,M,39.41734292
397,0,0,185.7,0,1040.6,734.3,L,25.44786968
181.38,0,167.01,169.59,7.56,1055.6,777.8,M,27.77209328
296,0,0,192,0,1085,765,M,21.6495464
251.37,0,118.27,188.45,5.75,1028.4,757.73,M,29.65436276
393,0,0,192,0,940.6,785.6,H,48.8466167
164.2,0,200.1,181.2,12.6,849.3,846,M,15.09125069
296,0,106.7,221.4,10.5,819.2,778.4,M,31.4201108
212,0,124.78,159,7.84,1085.4,799.54,H,46.44999812
250,0,95.69,191.84,5.33,948.9,857.2,H,40.4032936
213.76,98.06,24.52,181.74,6.65,1066,785.52,M,40.2309246
212.52,0,100.37,159.32,8.71,1007.8,903.59,H,42.73372248
350,0,0,203,0,974,775,L,20.32919986
251.37,0,118.27,192.94,5.75,1043.6,754.3,H,39.70692284
200,133,0,192,0,965.4,806.2,M,30.43967592
359,19,141,154,10.91,942,801,M,61.21512666
212.07,0,121.62,180.31,5.69,1057.6,779.32,M,24.90387312
162,190,148,179,19,838,741,M,33.75674496
212.07,0,121.62,180.31,5.69,1057.6,779.32,L,16.69566134
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,H,36.0423579
297.16,0,117.54,174.8,9.52,1022.8,753.45,L,29.45096734
277,0,0,191,0,968,856,M,25.96566616
251.37,0,118.27,188.45,5.75,1028.4,757.73,H,40.27574054
156,243,0,180,11,1022,698,M,37.36270444
165,0.02,143.57,163.81,0,1005.6,900.9,M,26.200088
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,H,49.96287834
304,140,0,214,6,895,722,M,33.41890172
275,0,0,183,0,1088,808,L,14.2032056
246.83,0,125.08,143.3,11.99,1086.8,800.89,L,32.8707683
136,162,126,172,10,923,764,M,29.06830816
321,164,0,190,5,870,774,M,57.21271848
213.74,0,174.74,154.79,10.16,1053.5,776.35,L,25.65195458
491,26,123,210,3.93,882,699,H,59.59042572
350,0,0,186,0,1050,770,L,20.27748916
249.1,0,98.75,158.11,12.8,987.76,889.01,M,30.84715624
145.9,230.5,0,202.5,3.4,827,871.8,M,32.72046253
160.2,188,146.4,203.2,11.3,828.7,709.7,M,35.31427124
500,0,0,200,0,1125,613,H,51.14073317
500,0,0,200,0,1125,613,M,44.0919902
446,24,79,162,11.64,967,712,M,47.72208134
305,0,100,196,10,959,705,M,30.12320644
376,0,0,214.6,0,1003.5,762.36,H,39.6793438
393,0,0,192,0,940,758,H,48.79421652
284,15,141,179,5.46,842,801,M,43.73346268
